"Reference","Photo_No","ImgBox","DigitalID","Date_Added","Source","Date","Subject","Notes","Details","Creator","Location","Dimensions","Condition","Format","Copyright","Seq_No","e18","e19"
"00688A","688A","1","DF00466","","","1968","Official opening of Torquay manse 19 October 1968 by Dr E G Gibson","","Dr Gibson performing the opening","Unknown","Torquay","12.4x9.0cm","Reasonable quality","","","20","",""
"00688B","688B","1","DF00467","","","1968","People at the opening of the Torquay manse by Dr Gibson","","Official opening ceremony 19 October 1968","Unknown","Torquay","12.7x9.0cm","Reasonable quality","","","21","",""
"00690","690","1","DF00468","","","1969","Carey B C Bulimba 3 July 1969 ","","Photo of church","Unknown","Bulimba","12.6x9.0cm","Reasonable quality","","","22","",""
"00131","131","5","DF00201","","","","Smith, William.R.","","","Lafayette Melbourne","Unknown","29.5x21.2cm","Reasonable but damaged","","","23","",""
"00845","845","6","DF00312","","","","Rev W Bell, Vulture Street Pastor 1911-1931","","","Paulsen Brisbane","Location unknown","35.0x24.7cm","Reasonable - marks around the edges","","","24","",""
"00684","684","1","DF00460","","","January 1965","Maleny Beerwah Baptist Church - B & W photo","","Early B & W photo","Unknown","Maleny","12.8x9.0cm","Reasonable","","","25","",""
"00685","685","1","DF00461","","","24 October 1970","Opening of Toogoolawah B C showing President Rev N W Mergard and builder Mr D Jenkins(back to camera)","","Early B & W photo","Unknown","Toogoolawah","9.8x9.0cm","Reasonable","","","26","",""
"00703","703","1","DF00494","","","1971","Charters Towers B C","","Charters Towers church building taken bafore opening on 14 August 1971","Unknown","Charters Towers","12.6x9.0cm","Reasonable","","","27","",""
"00716","716","1","DF00522","","","","Rev C L Miller and Pastor J W L Haig","","Rev C L Miller and Pastor J W L Haig","W A Jones, Wharf Street, Brisbane","Unknown","13.8x9.0cm","Reasonable","","","28","",""
"00125","125","4","DF00049","","","1949","Group at Kingswood camp, Warwick","","","Photographer unknown","Kingswood Camp, Warwick","25.0x36.0cm","Poor, tears and creases","","","29","",""
"00116","116","4","DF00044","","","?","Miscellaneous group in country - Wondai","","","Percival Barns, Wondai","Wondai","10.2x15.3cm","Poor, faded","","","30","",""
"00175","175","8","DF00254","","","","Currumbin Baptist Youth Camp - aerial photo","","Aerial view of church camp","Photographer unknown","Currumbin","37.0x30.2cm","Poor quality with fold in middle","","","31","",""
"00213","213","8","DF00306","","","1800-1850","'Baptist Messenger' memorial portraits printed in the first half of the 19th century and reproduced in the book 'Christmas Evans' by B A Ramsbottom and published by Bunyan Press UK 1985 at page 116.","75 UK men all Ministers, all Baptists, all famous","Collage of photos of prominent UK Baptist Ministers with names given on the original photo","From the UK 'Baptist Messenger'","UK","24.7x18.0cm","Poor quality with damage patches","","","32","",""
"00687","687","1","DF00465","","","1970","Caboolture B C B & W photo 7 March 1970","","People at the opening of the church building","Unknown","Caboolture","12.7x8.8cm","Poor quality photo","","","33","",""
"00693A","693A","1","DF00472","","","1973","Kallangur B C April 1973 - 2 B & W photos","","Photo of church building","Unknown","Kallangur","8.6x8.3cm","Poor quality photo","","","34","",""
"00693B","693B","1","DF00473","","","1973","Kallangur manse","","B & W photo of the manse at Kallangur","Unknown","Kallangur","8.6x8.3cm","Poor quality photo","","","35","",""
"00702","702","1","DF00493","","","1971","Deaconess Anthea Youngberry Charters Towers","","Deaconess Youngberry leaving the manse","Unknown","Charters Towers","10.8x8.6cm","Poor quality photo","","","36","",""
"00909G","909G","5","DF00217","28/01/2015","Malcolm & Grace Buchanan/Margaret Hansford","1946","Sandgate & Brighton BC","Stump capping at Brighton BC","Stump capping ceremony showing part of audience","Grace Buchanan","Brighton","21.1x15.2cm","Poor (blurred)","","","37","",""
"00909H","909H","5","DF00218","28/01/2015","Malcolm & Grace Buchanan/Margaret Hansford","1946","Sandgate & Brighton BC - Rev and Mrs J Farquhar","Stump capping at Brighton BC","Rev J Farquhar who officiated at the stump capping ceremony with Mrs Farquhar","Grace Buchanan","Brighton","21.2x15.8cm","Poor (Blurred)","","","38","",""
"00002","002","4","DF00016","","","1900","Baptist Association at Highfields","","","Photographer unknown","In front of church building","11.8x15.5cm","Poor & faded","","","39","",""
"00298","298","10","DF00324","","","","Don Paddon","","Appears to be a photocopy","Photographer unknown","Location unknown","10.2x10.2cm","Poor - photocopy","","","40","",""
"00382","382","10","DF00328","","","","Max & Cynthia Beckitt with children Geoffrey, Lynelle and Clare","","Photo and prayer request for the family","Photographer unknown","Location Unknown","15.2x10.0cm","Poor - photocopy","","","41","",""
"00721","721","1","DF00528","","","1972","Sarina Church Service 5 March 1972","","People attending Sarina church service on 5 March 1972","Unknown","Sarina","12.2x9.0cm","Poor - faded","","","42","",""
"00877D","877D","10","DF00387","","","","Some Queensland Pastors","","Pastors including (Back) Dick Walker, unidentified, J Llewellyn, F Stone, C H Nichols, (Front): A Chisholm, W Fletcher.","Photographer unknown","Location Unknown","10.2x8.2cm","Poor - faded","","","43","",""
"00846","846","6","DF00316","","","","Rev W Poole, Vulture Street Pastor 1880-1911","","This photo is badly damaged.  For better photo see B3A-P137-1904-DF00085","Photographer unknown","Location unknown","28.2x23.1cm","Poor - Badly damaged","","","44","",""
"00087","087","3B","DF00167","","","1887","Miscellaneous church group inc. Rev. W. Moore , Edmund Gegory, Rev Roberts, Rev Glover","album","Group at welcome to Rev R H Roberts to Petrie Terrace in 1887. Allpersons isted on original photo","Photographer unknown","Paddington/Milton","15.5x10.5cm","Poor","","","45","",""
"00089A","089A","3B","DF00170","","","?","Three old photos: (1) New Years greeting card;(2) Wharf St building 1881-1891; (3) Taringa BC Commttee of maagement","album","Photo 3: Rev J Voller (centre), Others: clockwise from topright: W Kent, F R Lloyd, J G Turton, W Page, C Chant, S Glassop.","Photographer unknown","Location unknown","(1) 13.5x9.6; (2) 13.0x8.0cm; 13.7x10.0cm.","Poor","","","46","",""
"00443","443","6","DF00313","","","","Group photo of the Toowoomba Debating Society in Rev Weller's time","","Believed to have been taken in Toowoomba in Rev A G Weller's time.  He is in front row 7th from left.","Photographer unknown","The building in the background appears to be the Toowoomba Post Office","31.0x23.3cm","Poor","","","47","",""
"00877F","877F","10","DF00389","","","1941","The Qld Baptist College Principals","","Rev T J Malyon (1904-1921); Rev W Bell (1921-1940); Rev T C Warriner (1941-).","Page in Queensland Baptist 1941","Brisbane","Three oval photos on page 24.5x18.5cm","Poor","","","48","",""
"00909I","909I","5","DF00219","28/01/2015","Malcolm & Grace Buchanan/Margaret Hansford","1946","Sandgate & Brighton BC","Choir at Sandgate Baptist Harvest Thanksgiving concert","Choir conductor is Malcolm Buchanan","Grace Buchanan","Sandgate BC","24.6x19.5cm","Poor","","","49","",""
"00909K","909K","5","DF00221","28/01/2015","Malcolm & Grace Buchanan/Margaret Hansford","1946","Sandgate & Brighton BC","Tennis party at Nashville","Tennis party to raise funds for church tennis courts","Grace Buchanan","Brighton","11.6x7.1cm","Poor","","","50","",""
"00088","088","3B","DF00168","","","?","Rockhampton 4 pictures","album","Four photos taken in Rockhampton showing Rocky Tab, Group at teachers, conference, the new manse and a group (mainly young women)","Photographer unknown","Rockhampton","(1) 10x8.2 cm (2) 13.9x8.8cm (3)15.2x7.2cm (4) 13.4x8.1cm.","Photos of Tab and manse are good; others are poor.","","","51","",""
"00183","183","8","DF00262","","","1912","Wondai Baptist Church Opening 23 September 1912","","23 men, women and children at the opening of the Wondai BC on23 September 1912.  No names known","Photographer unknown","Wondai","26.2x20.2cm","photocopy of photo","","","52","",""
"00689","689","1","DF00469","","","1974","Inala B C 1974 - 2 B & W photos","","Photo of church building","Unknown","Inala","10.9x8.6cm","One smudged and the other reasonable quality","","","53","",""
"00220","220","10","DF00322","","","1921","Queensland Junior CE Honours students and teachers 1921 (2 copies)","","Includes Baptist students with students from other denominations","Thos Mathewson Co Brisbane","Brisbane","19.5x13.5cm","One photo in fairly good condition.  The other is poor.","","","54","",""
"00090","090","3B","DF00171","","","?","Churches - 4 including Nundah","album","Four photos of old churches; one of original Nundah building (fromFortescue Street) with Rev A D Shaw in front","Photographer unknown","One at Nundah; others unknown","9.1x7.4; 9.9x9.3; 10.1x7.7; 15.8x8.8cm","Nundah photo poor quality; others good.","","","55","",""
"00214","214","8","DF00307","","","1975","Sunsetholme 1975","","Large colour photo of Sunsetholme as it appeared in 1975.","Matisse Picture Frames Alderley","Brisbane","44.5x24.0cm","Large mounted picture of reasonable quality on board","","","56","",""
"00082","082","5","DF00197","","","?","Currumbin camp??","","Group of men and boys at a camp, possibly Currumbin","Photographer unknown","Possibly Currumbin","36.0x23.0cm","Good with some marks and tears","","","57","",""
"00709","709","1","DF00500","","","","South Toowoomba B C","","South Toowoomba kids program","Mrs J Wright","Toowoomba","14.8x10.1cm","Good colour","","","58","",""
"00942","942","2","DF00618","","","1989","Charles & Shirley Horne","","Papua-New Guinea scripture translations - See QB Sept 1989 page 8 for details","QB 9/89 page 8","Unknown","15.2x10.1cm","Good colour","","","59","",""
"00972","972","2","DF00648","","","1983","Maryborough centenary","","Women in period costume during centenary celebrations in October 1983.  See QB Dec 1983 page 3.","QB Dec 1983","Maryborough","13.0x8.9cm","Good colour","","","60","",""
"00026","026","3A","DF00114","","","1903","City Tabernacle - int. - Whale memorial","album","City Tabernacle decorated for funeral of Rev William Whale in September 1903","Photographer unknown","Brisbane","18.5x13.4 cm","Good but with some marks n surface","","","61","",""
"00129","129","5","DF00200","","","1935","NSW Assembly","","","Photographer unknown","Unknown","39.7x15.5cm","Good but some marks visible","","","62","",""
"00848","848","6","DF00316","","","1931","Rev P C Lanyon, Vulture Street Pastor 1931-1936","","","Paulsen Studios Brisbane","Brisbane","31.0x24.5cm","Good but bad crease across photo","","","63","",""
"00686A","686A","1","DF00462","","","1969","Palm Beach Broadbeach B C -  B & W photo","","Photo of church building","Unknown","Broadbeach","8.5x5.2cm","Good B & W photo","","","64","",""
"00686B","686B","1","DF00463","","","1969","Palm Beach Church under construction","","Photo of church being built as at 29 September 1969","Unknown","Palm Beach","12.8x9.0cm","Good B & W photo","","","65","",""
"00686C","686C","1","DF00464","","","","Palm Beach Baptist Church","","Photo of new church","Unknown","Palm Beach","9.5x6.9cm","Good B & W photo","","","66","",""
"00691","691","1","DF00470","","","1966","Opening of Acacia Ridge B C - B & W photo","","People at entrance to the church","W A Jones & Co. 203 Wharf St Brisbane","Acacia Ridge","14.0x8.9cm","Good B & W photo","","","67","",""
"00911A","911A","5","DF00224","28/01/2015","","13 April 1999","Photos from UEC Book","Unveiling of plaque at former site of the UEC","(Left to right) Wm Gynther (Pres BUQ), H Dreitzer (Conrad International), Councillor Denise Herbert BCC, A Edmunds (Emmanuel College< UQ).","Photographer unknown","Brisbane","29.3x19.8cm","Good - in colour","","","68","",""
"00913","913","5","DF00233","25/02/2007","Baplink","2007","Stanley River Valley Community Church","Framed colour photo presented to Baplink","Counselling service and Computer shop in same building","Photographer unknown","Stanley River Valley","17.2x12.2cm","Good - in colour","","","69","",""
"00379","379","10","DF00325","","","","Frank & Margaret Andrews","","Photo and prayer request on occasion of Frank's death in a road accident","Photographer unknown","Location Unknown","12.6x9.4cm","Good - colour","","","70","",""
"00380","380","10","DF00326","","","","Peter & Joanne Archer - ABMS workers - Wynnum District Murrie Baptist Fellowship","","Photo and prayer request on the occasion os the birth of their second child Nathan","Photographer unknown","Location Unknown","8.9x6.2cm","Good - colour","","","71","",""
"00381","381","10","DF00327","","","","Rob & Donna Bartle","","Photo and prayer request for the Bartle family in their work for MTQ at Longreach","Photographer unknown","Location Unknown","12.7x9.5cm","Good - colour","","","72","",""
"00383","383","10","DF00329","","","","Lynne Bennett - BUQ staff member","","Photo and prayer request for staff worker","Photographer unknown","Location Unknown","11.1x8.5cm","Good - colour","","","73","",""
"00384","384","10","DF00330","","","","Rod & Michelle Benson - Flinders Baptist Community Church","","Photo and prayer request for the Bensons in the early stages of the Flinders church","Photographer unknown","Location Unknown","9.5x7.4cm","Good - colour","","","74","",""
"00385","385","10","DF00331","","","","Noel & Jenny Boettcher with children Louise, David and Andrew","","Photo and prayer request for the couple on the occasion of their 16th wedding anniversary","Photographer unknown","Location Unknown","10.1x8.8cm","Good - colour","","","75","",""
"00386","386","10","DF00332","","","","Lucy Brooks - Co-ordinator of Mail Bag Fellowship","","Photo and prayers request for Lucy and family and their work","Photographer unknown","Location Unknown","9.9x8.6cm","Good - colour","","","76","",""
"00387","387","10","DF00333","","","","Noel & Danielle Boyle - Mission to Queensland","","Photo and prayer request for the couple and their work at Emerald","Photographer unknown","Location Unknown","8.1x8.1cm","Good - colour","","","77","",""
"00388","388","10","DF00334","","","","Wal & Carolyn Brown - Mission to Queensland at Mareeba","","Photo and prayer request during period of illness","Photographer unknown","Location Unknown","15.1x10.1cm","Good - colour","","","78","",""
"00389","389","10","DF00335","","","","Hui-Seng & Mary Chen - with Samuel and Hannah","","Photo and prayer request for family and their work in the Kenmore district","Photographer unknown","Location Unknown","10.0x8.5cm","Good - colour","","","79","",""
"00390","390","10","DF00336","","","","Phil & Cynthia Chester - Mission to Queensland at Cooktown","","Prayer request for the couple and their work in Cooktown","Photographer unknown","Location Unknown","15.1x10.1cm","Good - colour","","","80","",""
"00391","391","10","DF00337","","","","Kelvin & Sally Cole - Wavell Heights Baptist Church","","Prayer request for their work and health","Photographer unknown","Location Unknown","13.9x9.1cm","Good - colour","","","81","",""
"00392","392","10","DF00338","","","","Robert & Coral Colman - Gateway Church","","Prayer request following their ministry at Gateway Church","Photographer unknown","Location Unknown","14.7x10.1cm","Good - colour","","","82","",""
"00393","393","10","DF00339","","","","Tony & Iris Crook, Jessica and Esther - Field Minister - Mission","","Prayer request for family and their work","Photographer unknown","Location Unknown","10.5x8.3cm","Good - colour","","","83","",""
"00394","394","10","DF00340","","","","Carolyn Davey - Secretary in Department of Community Services","","Prayer request for ongoing support","Photographer unknown","Location Unknown","10.5x9.2cm","Good - colour","","","84","",""
"00395","395","10","DF00341","","","","Barry & Margaret Dell - Manly Community BC","","Prayer request for support in their work","Photographer unknown","Location Unknown","10.4x7.7cm","Good - colour","","","85","",""
"00396","396","10","DF00342","","","","Bruce & Jenny Dobbin - with Christopher, Jonathan, Rebekah & Nicholas","","Prayer request for work in Youth ministries","Photographer unknown","Location Unknown","11.9x8.9cm","Good - colour","","","86","",""
"00397","397","10","DF00343","","","","Cheryl Fellows - Admin Assistant in ABMS Office","","Prayer request for ongoing work","Photographer unknown","Location Unknown","10.8x10.1cm","Good - colour","","","87","",""
"00398","398","10","DF00344","","","","Eddie & Evelyn Free, and Ruth and Andrew","","Prayer for work in Gospel Service Mission","Photographer unknown","Location Unknown","12.6x8.9cm","Good - colour","","","88","",""
"00399","399","10","DF00345","","","","Roy & Janet Funu - Kalbar BC","","Prayer support for ongoing work","Photographer unknown","Location Unknown","12.0x8.3cm","Good - colour","","","89","",""
"00400","400","10","DF00346","","","","Hamish & Shiela Grant - Church Planters at Carindale","","Prayer support for ongoing work","Photographer unknown","Location Unknown","15.2x9.8cm","Good - colour","","","90","",""
"00401","401","10","DF00347","","","","Barrie & Maureen Heyworth - Labrador BC","","Prayer support for ongoing work","Photographer unknown","Location Unknown","15.0x9.2cm","Good - colour","","","91","",""
"00402","402","10","DF00348","","","","Albert & Enid Hollowell - Deception Bay BC","","Prayer support for ongoing work","Photographer unknown","Location Unknown","15.0x10.1cm","Good - colour","","","92","",""
"00403","403","10","DF00349","","","","Bob & Val Hutton - Assistant to Executive Secretary of the BUQ","","Prayer support for ongoing work","Photographer unknown","Location Unknown","14.5x10.1cm","Good - colour","","","93","",""
"00404","404","10","DF00350","","","","Allan & Dorothy Jones - Senior Pastor at Rockhampton Tabernacle","","Prayer support for ongoing work","Photographer unknown","Location Unknown","14.5x10.1cm","Good - colour","","","94","",""
"00405","405","10","DF00351","","","","John & Margaret Knights - Retired Pastor","","Prayer support for John following the loss of his wife","Photographer unknown","Location Unknown","9.0x9.0cm","Good - colour","","","95","",""
"00406","406","10","DF00352","","","","Rob & Jenny McKenzie - with Hagar, Damien, Stacey, Asten & Tenielle","","Prayer support for ongoing work","Photographer unknown","Location Unknown","14.0x9.9cm","Good - colour","","","96","",""
"00407","407","10","DF00353","","","","Rob & Carolanne Moore","","Prayer support for ongoing work","Photographer unknown","Location Unknown","15.2x9.4cm","Good - colour","","","97","",""
"00408","408","10","DF00354","","","","Trevor & Margaret Owens","Director - Department of Community Services","Prayer support for ongoing work","Photographer unknown","Location Unknown","14.3x9.6cm","Good - colour","","","98","",""
"00409","409","10","DF00355","","","","Steve & Sam Powell - with Andrew, Glenn, Suzanne & Jonathan","Administrator - Lochiel and Clifford House","Prayer support for ongoing work","Photographer unknown","Location Unknown","13.7x7.8cm","Good - colour","","","99","",""
"00410","410","10","DF00356","","","","Rob & Barbara Profke","Administrator-Resthaven and Sunsetholme","Prayer support for ongoing work","Photographer unknown","Location Unknown","10.4x9.4cm","Good - colour","","","100","",""
"00411","411","10","DF00357","","","","Betty Salisbury","Actg. Field Treasurer in PNG for ABMS","Prayer support for ongoing work","Photographer unknown","Location Unknown","11.2x8.1cm","Good - colour","","","101","",""
"00412","412","10","DF00358","","","","Ken & Rosemary Schulz","Innisfail Church Pastor","Prayer support for ongoing work","Photographer unknown","Location Unknown","15.1x8.9cm","Good - colour","","","102","",""
"00413","413","10","DF00359","","","","Margaret & Mervyn Scott","Margaret - Care Manager at Sunsetholme","Prayer support for ongoing work","Photographer unknown","Location Unknown","13.3x9.5cm","Good - colour","","","103","",""
"00414","414","10","DF00360","","","","Van & Heazle Shore","Counsellor - Christian Wholeness Counselling Center","Prayer support for ongoing work","Photographer unknown","Location Unknown","15.1x10.2cm","Good - colour","","","104","",""
"00415","415","10","DF00361","","","","Stan & Millie Simmons","Retired Pastor","Prayer support at time of illness","Photographer unknown","Location Unknown","11.2x8.9cm","Good - colour","","","105","",""
"00416","416","10","DF00362","","","","Ron & Sandy Simpson & Phillip","Primary School teacher","Prayer support re ongoing work","Photographer unknown","Location Unknown","17.4x6.9cm","Good - colour","","","106","",""
"00417","417","10","DF00363","","","","Paul & Ruth Smith & family","Accountant BUQ and DCS","Prayer support for ongoing work","Photographer unknown","Location Unknown","15.1x10.3cm","Good - colour","","","107","",""
"00418","418","10","DF00364","","","","Will & Rose Spann with Stephen, Michael & Sheralee","Stanthorpe Pastor","Prayer support for ongoing work","Photographer unknown","Location Unknown","12.9x9.8cm","Good - colour","","","108","",""
"00419","419","10","DF00365","","","","Elizabeth Steer","Secretary to Executive Secretary BUQ","Prayer support for ongoing work","Photographer unknown","Location Unknown","12.1x10.2cm","Good - colour","","","109","",""
"00420","420","10","DF00366","","","","Kylie Unwin","Receptionist BUQ and DCS","Prayer support during pregnancy and family","Photographer unknown","Location Unknown","14.8x10.212.1x10.2cm","Good - colour","","","110","",""
"00421","421","10","DF00367","","","","Alan Veneris","Printer - BUQ","Prayer support for ongoing health","Photographer unknown","Location Unknown","11.8x8.4cm","Good - colour","","","111","",""
"00423","423","10","DF00369","","","","Steve & Jo Wanmer with Scott and Jane","Baplink Manager","Prayer support for ongoing work","Photographer unknown","Location Unknown","13.5x8.3cm","Good - colour","","","112","",""
"00424","424","10","DF00370","","","","Murray & Carolyn Wickens - Michelle, Matthew, Benjamin & Krystal","Workplace Health and Safety Officer BUQ","Prayer support for ongoing work","Photographer unknown","Location Unknown","14.5x9.5cm","Good - colour","","","113","",""
"00425","425","10","DF00371","","","","Lloyd & Valmay Woodrow","Lloyd - Exec Secretary BUQ; Valmay - Baplink","Prayer support for ongoing work","Photographer unknown","Location Unknown","11.7x10.1cm","Good - colour","","","114","",""
"00502","502","10","DF00373","","","","Neil & Danielle Boyle MTQ Staff","","Pastor Emerald MTQ","Photographer unknown","Emerald","19.6x13.1cm","Good - colour","","","115","",""
"00504","504","10","DF00374","","","","Phil & Merryl Greenbury MTQ Staff","","Pastor Mareeba","Photographer unknown","Mareeba","20.3x14.9cm","Good - colour","","","116","",""
"00519","519","10","DF00375","","","","Middlemount Baptist Community Centre MTQ Staff Andrew & Lorraine Daniels","","Andrew and Lorraine Daniels in middle left photo with others","Photographer unknown","Middlemount","25.3x21.6cm","Good - colour","","","117","",""
"00533","533","10","DF00376","","","","Barry & Jan Fairhead & Family Cooktown MTQ","","Barry and Jan Fairhead with children Cooktown MTQ","Photographer unknown","Cooktown","29.4x20.4cm","Good - colour","","","118","",""
"00542","542","10","DF00377","","","","Mareeba MTQ","","Mareeba at Worship and at prayer","Photographer unknown","Mareeba","2 photos @15.2x10.1cm","Good - colour","","","119","",""
"00543","543","10","DF00378","","","","Goondiwindi Ministry Centre MTQ","","Goondiwindi Ministry Centre","Photographer unknown","Goondiwindi","2 photos @15.2x10.0cm","Good - colour","","","120","",""
"00544","544","10","DF00379","","","","Longreach Church MTQ","","Mobile Mission team including 4 men from Longreach, working in Honiara, Solomon Islands building an office block for Scripture Union","Photographer unknown","Honiara, Solomon Islands","2 photos @15.1x10.1cm","Good - colour","","","121","",""
"00545","545","10","DF00380","","","","Longreach Church Scripture Union building Solomon Islands","","Four Longreach men with the Mobile Mission team (1) at the SU building in Honiara and (2) with the local SU Director and his wife and family","Photographer unknown","Honiara, Solomon Islands","2 photos @15.1x10.2cm","Good - colour","","","122","",""
"00671","671","10","DF00381","","","","Tully group MTQ","","Members of the Tully Baptist Fellowship","Photographer unknown","Tully","27.6x19.5cm","Good - Colour","","","123","",""
"00672","672","10","DF00382","","","","Cooktown Baptist Church meeting place at CWA building showing church sign re Sunday services","","Barry Fairhead standing in front of the CWA building","Photographer unknown","Cooktown","29.4x20.7cm","Good - Colour","","","124","",""
"00673","673","10","DF00383","","","","Cooktown Manse under construction - Bob and Brenda Jee of Beaudesert in top left photo","","Collage of photos showing the building of Cooktown Manse","Photographer unknown","Cooktown","29.3x28.7cm","Good - Colour","","","125","",""
"00674A","674A","1","DF00406","","","1999","United Evangelism Church - 150th celebrations - Collection of photos","Unveiling of plaque at former site of the UEC","W Gynther; H Dreizer; Councillor D Herbert; A Edmonds","Ken Smith","Brisbane","15.1x10.2cm","Good - Colour","","","126","",""
"00674B","674B","1","DF00407","","","1999","United Evangelism Church - 150th celebrations","Unveiling of plaque at former site of the UEC","Councillor D Herbert unveiling the commemoration plaque","Ken Smith","Brisbane","15.1x10.2cm","Good - Colour","","","127","",""
"00674C","674C","1","DF00408","","","1999","United Evangelism Church - 150th celebrations","Photo of commemoration plaque","Plaque placed on the wall of the Conrad Hotel","Ken Smith","Brisbane","12.6x8.8cm","Good - Colour","","","128","",""
"00674D","674D","1","DF00409","","","1999","United Evangelism Church - 150th celebrations","","Bill Gynther, President of the BUQ, addressingthe UEC commemoration celebrations","Ken Smith","Brisbane","12.6x8.8cm","Good - Colour","","","129","",""
"00674E","674E","1","DF00410","","","1999","United Evangelism Church - 150th celebrations","","Mr Angus Edmonds, Principal Emmanuel College, University of Queensland, addressingthe UEC commemoration celebrations","Ken Smith","Brisbane","12.6x8.8cm","Good - Colour","","","130","",""
"00674F","674F","1","DF00411","","","1999","United Evangelism Church - 150th celebrations","","The Conrad Hotel on which the UEC commemoration plaque is placed","Ken Smith","Brisbane","12.6x8.8cm","Good - Colour","","","131","",""
"00674G","674G","1","DF00412","","","1999","United Evangelism Church - 150th celebrations","","The entrance to the Conrad Hotel on which the UEC commemoration plaque is placed","Ken Smith","Brisbane","12.6x8.8cm","Good - Colour","","","132","",""
"00674H","674H","1","DF00413","","","1999","United Evangelism Church - 150th celebrations","","Rev Dr D Parker addressing the UEC commemoration celebrations","Ken Smith","Brisbane","12.6x8.8cm","Good - Colour","","","133","",""
"00675A","675A","1","DF00414","","","2000","Kalbar Baptist Church - 125th anniversary celebrations ","","Exterior view of the Kalbar Church","Ken Smith","Brisbane","12.6x8.8cm","Good - Colour","","","134","",""
