1974-75	Mr D J Adam M.B.E., J.P. 	Youth, The Church and You
1975-76	Rev R E Conwell L.Th., Dip.R.E. 	Abundant Living
1976-77	Dr L G Knott M.B.B.S., D.P.M. (Qld), F.R.A.N.Z.C.P 	Jesus Church: Light for a Dark World
1977-78	Rev F J C Stone., M.B.E.., B.A. 	Jesus Christ: That's Life
1978-79	Mr W McConaghy 	No Other Foundation Save Jesus Christ
1979-80	Dr E G Gibson M.A., B.Ed., B.Sc., (Econ), B.D., Th.D. 	Our Vision of God
1980-81	Mr F W StallardF.S.S.E., F.R.M.I.A. 	Triumphant Victory in Christ
1981-82	Rev J C Colledge L.Th. 	Our Father
1982-83	Mr M J Hogg A.C.I.S., AASA.(snr), A.A.U.Q., A.F.A.I.M. 	The King's Business
1983-84	Pastor J C Llewellyn, J.P. 	The Living God
1984-85	Dr L J Sands M.B.B.S. (Qld), F.R.A.C.G.P 	The Body Beautiful
1985-86	Rev C L Miller Dip. R.E., A.A.U.Q. 	The Holy Spirit's Work in the Church Today
1986-87	Mr F C Horne	Sent by the Son
1987-88	Rev R E Conwell L.Th., Dip.R.E. 	Looking Unto Jesus
1988-89	Rev A M Hooker L.Th. 	Living in the Kingdom
1989-90	Rev N E Weston Dip.R.E. 	Let's take God Seriously
1990-91	Rev N E Weston Dip.R.E. 	The Local Church in Action for Christ - Evangelising
1991-92	Mr G H King B.Ec. 	Humility and Commitment in the Mission of the Church
1992-93	Mr G H King B.Ec. 	Break Out of the Routine - in furthering the Mission of the Church
1993-94	Rev M Lee B.App.Sc. B.D.	
1994-95	Rev J Walker	
1995-96	Rev D Kelso L.Th. B.Theol. M.A. 	Let's talk about Jesus
1996-97	Mr D Johnston B.A., J.P. 	His Voice, Our Choice
1997-98	Rev G Morcom L.Th Dip R.E. 	Let's Make Disciples
1998-99	Mr W Gynther B.Ed. M.Ed. M.Ed. 	MACEA United in Christ
1999-00	Rev Bryan Hoar MA 	Let's Take More of a Risk for Jesus
2000-01	Rev Dr S.W Nickerson B.A. B.D. B.Ed. M.A. Ph.D 	Let God be God
2001-02	Rev Russell Hinds 	Grad.Dip.Theol.
2002-03	Dr Ifor Thomas MB BS MRCOG 	People and Power of the Word
2003-04	Rev Graham Paulson 	The Whole Gospel For The Whole State
2004-05	Mr Bev Hodgson 	How Successful Are Our Investments
2005-06	Pastor John Spall	
2006-07	Mrs Lorraine Walker	
2007-08	Rev John Lane	
2008-09	Pastor Ray Elvery	
2009-10	Rev Alan Grieve Dip. Min.	
2010-11	Vacant
